name,x,y
0x008c7a18,28.9794592145,14.6590175428
0x008ce660,28.2365836026,15.3237424634
0x008c8468,28.9749900042,14.0535204507
0x008c8990,28.9704917731,13.4460364825
0x008cb488,28.0984733972,12.9586436269
0x008e4828,24.8297974883,13.0273057375
0x008ce4a8,20.4855219698,15.4047313151
0x0089c260,20.8118904022,15.8271384565
0x008e49e0,21.3291579585,15.8349237667
0x008dcf38,21.4744943545,15.8371133852
0x008e1090,18.8386470099,17.9445941455
0x008eb998,16.2059629376,17.0046936524
0x008eb2b8,15.7001295946,17.0103298925
0x008ed358,14.8254993426,17.0200750464
0x008d6c98,9.589181064650001,5.7296722606
0x008dcd80,7.52907828081,5.25488998559
0x008e2fe8,14.7209662559,17.5436236393
0x008e3510,14.3552165357,17.2021918333
0x008e68d0,13.8386745005,17.0162499722
0x0089d390,13.4808764922,17.019047818
0x008dee30,19.7486826939,18.7853130309
0x008e8450,20.3476729521,18.7853130309
0x008e1400,19.1022433527,18.077322871
0x008df1a0,19.6311192474,18.4192953235
0x008c4d68,21.0729619314,18.7853130309
0x008e8978,20.1008216373,18.1962110451
0x0089d8b8,20.8034743569,18.2828361369
0x008df6c8,21.0496001505,18.2751184075
0x008f3438,20.8034743569,18.2828361369
0x008d08c0,13.5035417728,3.72953687077
0x008da438,13.693251042,3.17734752743
0x008da960,13.8716131606,3.03137296171
0x008dacd0,14.4900764063,2.52516560658
0x008e0488,15.5652116823,2.17424545381
0x008d1a10,18.5778366684,12.4502872018
0x008d4880,16.9257089354,10.3898291743
0x008d4f60,14.6164331691,10.3917619857
0x008d5d20,9.303383774789999,10.3962088035
0x008eb7e0,18.3051858217,6.95592619349
0x008dc330,17.6311476561,9.207354094979999
0x008d82f0,15.6303054395,6.18785668685
0x00899528,12.2579670692,4.96322469358
0x008d4bf0,17.0367136707,9.2078677092
0x008c50d8,27.6036389547,10.0898108933
0x008c49f8,26.4316320954,10.7992472827
0x008d5488,13.1022415164,9.21131433089
0x008d6400,9.233211369539999,9.21470688792
0x008de750,9.168581945850001,10.2533835039
0x008ee890,19.1859104513,5.21777460064
0x008ea188,19.4917031039,16.9511831611
0x008ccae0,19.8159820354,17.2169379677
0x0089ed58,20.3750105889,15.4122868505
0x008cb118,21.4570528261,15.5339593542
0x008eef70,20.7764269286,6.23035150487
0x008cfe70,26.7845255808,9.70831717868
0x008f1390,19.26786532,6.21384826924
0x008cb9b0,26.4355208887,11.976261832
0x008cc770,26.4335184504,11.3697510275
0x008e3c20,24.6300760272,13.0758828291
0x008e7f28,24.6088617889,14.3031639904
0x0089c940,21.4052796371,15.338840018
0x008edbf0,19.4239974706,5.29360027783
0x008d3228,27.0702067873,6.81135730877
0x008eaa20,28.2086075072,6.81233047254
0x008d41a0,28.4699982657,6.24909842363
0x008ea340,28.7961635521,5.92764350728
0x0089eba0,23.3240218809,15.0309553298
0x008c9750,22.9072825346,14.182680909
0x0089f280,21.9697060679,15.0471341775
0x008f0af0,19.268039445,6.16983964091
0x008c7860,22.9072825346,13.8584011145
0x008cabf0,22.9072825346,14.182680909
0x008e87c0,20.1008216373,18.1179389423
0x008c2ee0,9.168581945850001,10.2533835039
0x008cf0b0,26.4323285957,11.0139515398
0x008c7d88,26.4316320954,10.7992472827
0x008cf790,26.0299835889,9.86528038532
0x008e5cc8,20.1008216373,17.8175827572
0x008d1178,18.8440739081,12.4445293162
0x008ced40,19.7832755421,7.71147973274
0x008da280,24.832670552,12.9626308952
0x008da5f0,20.1008216373,17.8707553443
0x008c93e0,7.1686103546,6.55632081982
0x008d7008,7.27212771172,5.19886548791
0x0089d1d8,7.52907828081,5.25488998559
0x008ceef8,18.2362903336,7.71591303437
0x008d7c10,16.7960437962,7.72003546423
0x008d78a0,14.6821363641,7.42924872285
0x008d8d40,10.9739687657,6.55630730366
0x0089b890,20.7793873907,6.21114483512
0x008d3750,20.6883590969,6.21117556157
0x0089ba48,9.77308616475,19.0802762668
0x008e6fb0,10.451506478,18.7353167422
0x0089bc00,20.7793873907,6.24492213054
0x0089caf8,18.9607615546,6.19224846014
0x0089d548,18.9088774569,19.322026367
0x008e9580,19.1673951517,19.1934471037
0x0089da70,5.86450060497,18.8759389071
0x0089e678,4.80242470966,18.4095907181
0x0089e308,18.9607615546,6.19036732261
0x0089e9e8,18.9607615546,6.19478257283
0x0089ef10,20.5936246206,6.12045157951
0x008b8ec8,18.06735999,5.36677678698
0x008e3f90,20.6525369377,6.18017950598
0x008ca1a0,0,0
0x008e61f0,26.96634118,20.7947880897
0x0089f5f0,20.5423157651,15.2074508364
0x0089f960,20.9103581321,6.27588745968
0x008f0410,20.9103581321,6.25171862431
0x0089fb18,18.4239681437,19.7428115689
0x008e9fd0,18.4239681437,19.6385884322
0x0089fe88,18.9607615546,6.18341777495
0x008b8108,19.517676761,19.1898247719
0x008d71c0,21.2621488254,19.1813906859
0x008b82c0,23.659096567,13.0991593759
0x008f0258,23.8116711094,13.0991593759
0x008f2150,24.7999930796,12.9458032716
0x008b8630,17.7673265205,17.9691210328
0x008e9738,17.947327799,17.9691210328
0x008ed6c8,18.9716495464,17.9419584936
0x008b89a0,18.7465638661,9.227939211980001
0x008d3fe8,18.3167361183,6.19802084179
0x008b8b58,19.1620139601,12.5859165357
0x008d52d0,19.0998676921,12.5859165357
0x008e1c98,19.1620139601,12.5523748755
0x008e63a8,19.1642241264,12.5859165357
0x008c2800,18.06735999,5.36677678698
0x008c87d8,19.3071305244,5.4044598508
